,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
24,CANCER-PHON,LOGIC,JP2,16,19.527644928296407,0.5313879280463323,19.044453859329224,20.949270963668823,19.157432734966278,19.230499982833862,19.90459454059601,0.7471618056297302,19.044453859329224,20.949270963668823,0.0
25,CANCER-PHON,LOGIC,PPMD,16,3.40989191532135,0.4648786862626258,3.138719081878662,5.094032526016235,3.238428711891174,3.2665522098541255,3.3765516877174377,0.13812297582626387,3.138719081878662,3.466023921966552,2.0
26,CANCER-PHON,LOGIC,WEBP,25,29.839210494359335,0.7495797841848627,29.193537950515747,31.655275344848633,29.31830197572708,29.420005798339844,30.274497270584106,0.9561952948570251,29.193537950515747,31.655275344848633,0.0
27,CANCER-PHON,LOGIC,ZLIB,8,1.1864119688669839,0.35720853109988865,0.9625275135040281,2.8325600624084473,1.0305016040801998,1.0564979314804075,1.1901503205299373,0.15964871644973755,0.9625275135040281,1.259477615356445,5.0
28,CANCER-PHON,MEMORY,BZ2,27,6.602083373069763,0.7649863169214719,5.999595880508423,8.084197521209717,6.13321053981781,6.217409253120422,6.454761028289795,0.32155048847198486,5.999595880508423,6.4751410484313965,7.0
29,CANCER-PHON,MEMORY,GZIP,29,12.35572742621104,0.8470486801195344,11.47484540939331,13.748260259628296,11.714563310146332,11.875028848648071,13.379680871963501,1.6651175618171692,11.47484540939331,13.748260259628296,0.0
30,CANCER-PHON,MEMORY,HEVC,2,12.700039927164713,0.12909858991742795,12.497019290924072,12.98603343963623,12.615622758865356,12.662998795509338,12.79755187034607,0.1819291114807129,12.497019290924072,12.98603343963623,0.0
31,CANCER-PHON,MEMORY,JP2,14,16.369876662890118,0.3091759021875136,16.104499340057373,17.510143756866455,16.1883607506752,16.304500102996826,16.419040322303772,0.23067957162857056,16.104499340057373,16.579443216323853,2.0
32,CANCER-PHON,MEMORY,PPMD,17,3.7663262685139975,0.6663666852519651,3.419373750686645,5.263941526412964,3.4624145030975337,3.471851110458373,3.50027847290039,0.037863969802856445,3.419373750686645,3.518058061599731,6.0
33,CANCER-PHON,MEMORY,WEBP,18,18.566189869244894,0.3674743482068743,18.243651628494263,20.052159786224365,18.362662434577942,18.464104294776917,18.59145361185074,0.22879117727279663,18.243651628494263,18.73210835456848,3.0
